ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Class/&WitchDescription	Von einem finsteren Fluch heimgesucht, kÃ¶nnen Hexen dunkle Magie in VerwÃ¼nschungen verwandeln, die sie verwenden, um Feinde zu schwÃ¤chen. Sie werden auch von ihren Vertrauten begleitet, treuen magischen GefÃ¤hrten, mit denen sie den TodesstoÃŸ versetzen.
Class/&WitchFamiliarPowerDescription	Du lernst den Witch Familiar-Zauber, also einen verbesserten Find Familiar-Zauber, und kannst ihn als Ritual ohne materielle Komponenten wirken. Der Zauber zÃ¤hlt nicht zu deiner Anzahl bekannter Zauber. Der Zauber verbessert Find Familiar auf folgende Weise:\nâ€¢ Dein Vertrauter ist in jeder Runde unmittelbar vor oder nach deinem Zug an der Reihe (deine Wahl).\nâ€¢ Einmal pro Zug als Aktion oder Bonusaktion kannst du deinem Vertrauten im Geiste befehlen, seine Reaktion zu nutzen, um einen Angriff auszufÃ¼hren.\nâ€¢ Wenn du einen Zauber wirkst, kannst du ihn durch deinen Vertrauten Ã¼bermitteln, als ob er den Zauber gewirkt hÃ¤tte, selbst wenn der Zauber keine Reichweite hat.\nâ€¢ Ihr Vertrauter kann Ihren Zauberangriffsbonus fÃ¼r seine AngriffswÃ¼rfe verwenden.\nâ€¢ Ihr Vertrauter addiert Ihren Fertigkeitsbonus zu seiner RÃ¼stungsklasse, RettungswÃ¼rfen und SchadenswÃ¼rfen.\nâ€¢ Du addierst das Doppelte deines Hexenlevels zu den maximalen Trefferpunkten deines Vertrauten.
Class/&WitchFamiliarPowerTitle	Vertraut
Class/&WitchFeatureSetBurnedCurseDescription	Fast dein ganzer KÃ¶rper wurde von arkanen Flammen versengt und hinterlÃ¤sst auffÃ¤llige schwarze Narben und magische Glut, die unter der Haut brennen. Infolgedessen haben Sie Widerstand gegen Feuerschaden und kennen die Cantrip-Produce-Flamme, die nicht zu Ihrer Gesamtzahl bekannter Cantrips zÃ¤hlt.
Class/&WitchFeatureSetBurnedCurseTitle	Verbrannt
Class/&WitchFeatureSetLovelessCurseDescription	Du bist verflucht, niemals die wahre Liebe zu finden. ErschÃ¶pft und desillusioniert, nicht einmal Magie kann dein Herz wenden; Infolgedessen sind Sie immun gegen Bezauberung.
Class/&WitchFeatureSetLovelessCurseTitle	Lieblos
Class/&WitchFeatureSetRitualCastingDescription	Du kannst jeden Hexenzauber, den du kennst, als Ritual wirken, wenn dieser Zauber das Ritual-Tag hat.
Class/&WitchFeatureSetRitualCastingTitle	Hexenritual-Casting
Class/&WitchFeatureSetVisionsCurseDescription	Du bist verflucht, schreckliche Zukunftsvisionen zu haben, die den Tod deiner Freunde, deiner Familie und dir selbst vorhersagen. Obwohl viele dieser Visionen grausame TÃ¤uschungen sind, sind sie manchmal grimmig genau. Du kannst deinen Charisma-Modifikator zusÃ¤tzlich zu deinem Geschicklichkeits-Modifikator zu deinen InitiativewÃ¼rfen hinzufÃ¼gen.
Class/&WitchFeatureSetVisionsCurseTitle	Visionen
Class/&WitchLovelessCharmImmunityDescription	ImmunitÃ¤t gegen lieblosen Zauber.
Class/&WitchLovelessCharmImmunityTitle	Charme-ImmunitÃ¤t
Class/&WitchMaledictionAbateDescription	WÃ¤hle als Aktion eine Kreatur, die du innerhalb von 60 FuÃŸ von dir sehen kannst, um einen Charisma-Rettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf kann die Kreatur bis zum Ende deines nÃ¤chsten Zuges keine Reaktionen annehmen.
Class/&WitchMaledictionAbateTitle	Fang den Fluch
Class/&WitchMaledictionApathyDescription	WÃ¤hle als Aktion eine Kreatur, die du innerhalb von 60 FuÃŸ von dir sehen kannst, um einen Charisma-Rettungswurf zu machen. Bei einem misslungenen Rettungswurf wird die Kreatur bis zum Ende deines nÃ¤chsten Zuges einer Kreatur deiner Wahl gegenÃ¼ber, der sie feindlich gesinnt ist, gleichgÃ¼ltig. Diese GleichgÃ¼ltigkeit endet, wenn das Ziel durch einen Zauber der Kreatur, der es gleichgÃ¼ltig ist, angegriffen oder verletzt wird.
Class/&WitchMaledictionApathyTitle	Apathie VerwÃ¼nschung
Class/&WitchMaledictionCharmDescription	WÃ¤hle als Aktion eine Kreatur, die du innerhalb von 60 FuÃŸ sehen kannst, um einen Weisheitswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf wird die Kreatur bis zum Ende deines nÃ¤chsten Zuges von dir verzaubert.
Class/&WitchMaledictionCharmTitle	Zauberspruch
Class/&WitchMaledictionDisorientDescription	WÃ¤hle als Aktion eine Kreatur, die du innerhalb von 60 FuÃŸ sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf muss dieses Ziel jedes Mal, wenn es vor dem Ende deines nÃ¤chsten Zuges einen Angriffswurf macht, einen W6 wÃ¼rfeln und die gewÃ¼rfelte Zahl vom Angriffswurf abziehen.
Class/&WitchMaledictionDisorientTitle	Fluch der Desorientierung
Class/&WitchMaledictionEvilEyeDescription	WÃ¤hle als Aktion eine Kreatur, die du sehen kannst und die dich innerhalb von 18Â m sehen kann, um einen Weisheitswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf hat die Kreatur bis zum Ende deines nÃ¤chsten Zuges Angst vor dir.
Class/&WitchMaledictionEvilEyeTitle	Fluch des bÃ¶sen Blicks
Class/&WitchMaledictionObfuscateDescription	Als Aktion erzeugst du eine Nebelkugel mit einem Radius von 20 FuÃŸ, die auf dich selbst zentriert ist. Die Kugel breitet sich um Ecken herum aus und ihr Bereich ist stark verdeckt. Dieser Effekt hÃ¤lt bis zum Ende deines nÃ¤chsten Zuges an oder bis ein Wind mit mittlerer oder hÃ¶herer Geschwindigkeit (mindestens 10 Meilen pro Stunde) ihn zerstreut.
Class/&WitchMaledictionObfuscateTitle	Fluch verschleiern
Class/&WitchMaledictionPoxDescription	WÃ¤hle als Aktion eine Kreatur, die du innerhalb von 1,50 m sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf ist die Kreatur bis zum Ende deines nÃ¤chsten Zuges vergiftet.
Class/&WitchMaledictionPoxTitle	Pocken-VerwÃ¼nschung
Class/&WitchMaledictionRuinDescription	WÃ¤hle als Aktion eine Kreatur, die du innerhalb von 60 FuÃŸ sehen kannst, um einen Konstitutionsrettungswurf zu machen. Bei einem fehlgeschlagenen Rettungswurf sinkt die RÃ¼stungsklasse der Kreatur bis zum Ende deines nÃ¤chsten Zuges um 3 auf ein Minimum von 10.
Class/&WitchMaledictionRuinTitle	Ruin Fluch
Class/&WitchRitualCastingMagicAffinityDescription	Rituelle Casting-AffinitÃ¤t.
Class/&WitchRitualCastingMagicAffinityTitle	Rituelles GieÃŸen
Class/&WitchSavingthrowProficiencyDescription	Weisheit, Charisma.
Class/&WitchSavingthrowProficiencyTitle	HexenwurffÃ¤higkeiten
Class/&WitchSkillProficiencyDescription	WÃ¤hlen Sie zwei aus Arcana, TÃ¤uschung, Einsicht, EinschÃ¼chterung, Ãœberzeugung, Natur und Religion.
Class/&WitchSkillProficiencyTitle	HexenfÃ¤higkeiten
Class/&WitchSpellcastingDescription	Kann Zauber aus der Hexenzauberliste wirken.
Class/&WitchSpellcastingTitle	Hexenzauber
Class/&WitchTitle	Hexe
Class/&WitchToolProficiencyDescription	WÃ¤hle eines aus dem KrÃ¤uterkundler-Kit und dem Poisoner-Kit.
Class/&WitchToolProficiencyTitle	Hexenwerkzeugkenntnisse
Class/&WitchVisionsInitiativeDescription	Visions-Initiative.
Class/&WitchVisionsInitiativeTitle	Visions-Initiative
Class/&WitchWeaponProficiencyDescription	Einfache Waffen.
Class/&WitchWeaponProficiencyTitle	HexenwaffenfÃ¤higkeiten
Condition/&AbateDescription	Bedingung abschwÃ¤chen.
Condition/&AbateTitle	Nachlassen
Condition/&AncientForestPhotosynthesisDescription	Sie kÃ¶nnen Energie aus Sonnenlicht absorbieren. WÃ¤hrend Sie sich in direktem hellem Licht befinden, erhalten Sie zu Beginn Ihres Zuges 2 HP zurÃ¼ck.
Condition/&AncientForestPhotosynthesisTitle	Photosynthese
Condition/&AncientForestRootedConditionDescription	Baumranken wachsen aus deinen FÃ¼ÃŸen und graben sich in den Boden. Du kannst nach Belieben verstricken. Deine Geschwindigkeit wird 0 und du erhÃ¤ltst einen Vorteil bei RettungswÃ¼rfen, die dich stoÃŸen, ziehen oder zu Boden werfen.
Condition/&AncientForestRootedConditionTitle	Verwurzelt
Condition/&ApathyDescription	Apathischer Zustand.
Condition/&ApathyTitle	Apathie
Condition/&CharmDescription	Charm-Zustand.
Condition/&CharmTitle	Charme
Condition/&ClassMonkEmptyBodyConditionDescription	Sie haben Widerstand gegen jeden Schaden auÃŸer Gewalt.
Condition/&ClassMonkEmptyBodyConditionTitle	Leerer KÃ¶rper
Condition/&ClassMonkOpenHandDistractConditionDescription	Reaktionen kÃ¶nnen nicht verwendet werden.
Condition/&ClassMonkOpenHandDistractConditionTitle	Abgelenkt
Condition/&ClassMonkStepOfTheWindConditionDescription	Du kannst die Aktion â€žAusrÃ¼ckenâ€œ oder â€žSprintenâ€œ als Bonusaktion ausfÃ¼hren und deine Sprungweite wird fÃ¼r die Runde verdoppelt.
Condition/&ClassMonkStepOfTheWindConditionTitle	Schritt des Windes
Condition/&ClassMonkTanquilityConditionDescription	Du hast einen Vorteil bei RettungswÃ¼rfen gegen Zauber und Gegner haben einen Nachteil, wenn sie dich angreifen. Wird entfernt, wenn du angreifst oder einen Zauber wirkst.
Condition/&ClassMonkTanquilityConditionTitle	Ruhe
Condition/&ClassMonkZenArrowDistractConditionDescription	Hat Nachteil beim nÃ¤chsten Angriff.
Condition/&ClassMonkZenArrowDistractConditionTitle	Abgelenkt
Condition/&ClassMonkZenArrowUpgradedDistractConditionDescription	Hat bei allen Angriffen einen Nachteil.
Condition/&ClassMonkZenArrowUpgradedDistractConditionTitle	Abgelenkt
Condition/&ClassMonkZenArrowUpgradedSlowConditionDescription	Bewegung wird auf 0 gesetzt.
Condition/&ClassMonkZenArrowUpgradedSlowConditionTitle	Gepinnt
Condition/&ConditionBarkWardDescription	BeschÃ¼tzt von den Geistern des Waldes.
Condition/&ConditionBarkWardTitle	Rinde Ward
Condition/&ConditionDualFlurryApplyDescription	Du baust Schwung auf...
Condition/&ConditionDualFlurryApplyTitle	Doppelte Flut!
Condition/&ConditionDualFlurryGrantDescription	Deine Feinde taumeln!
Condition/&ConditionDualFlurryGrantTitle	Doppelte Flut!
Condition/&ConditionImprovedBarkWardDescription	Die Geister des Waldes fÃ¼gen Nahkampfangreifern 2W8 Stichschaden zu.
Condition/&ConditionImprovedBarkWardTitle	Verbesserter Bark Ward
Condition/&ConditionMarkedByArcanistDescription	Vom Zeichen des Arkanisten betroffen.
Condition/&ConditionMarkedByArcanistTitle	Zeichen des Arkanisten
Condition/&ConditionMuleDescription	Ihre Geschwindigkeit wird nicht durch Belastung oder schwere Panzerung verringert. Sie kÃ¶nnen 20 zusÃ¤tzliche Pfund tragen.
Condition/&ConditionMuleTitle	Maultier
Condition/&ConditionSuperiorBarkWardDescription	Die Geister des Waldes gewÃ¤hren dir GiftimmunitÃ¤t und fÃ¼gen Nahkampfangreifern 3W8 Stichschaden zu.
Condition/&ConditionSuperiorBarkWardTitle	Superior Bark Ward
Condition/&DebilitatedConditionDescription	GeschwÃ¤chter Zustand.
Condition/&DebilitatedConditionTitle	GeschwÃ¤cht
Condition/&DHFeeblemindSpellDescription	Die Intelligenz- und Charismawerte der Kreatur werden zu 1. Die Kreatur kann keine Zauber wirken, magische GegenstÃ¤nde aktivieren, Sprache verstehen oder auf irgendeine verstÃ¤ndliche Weise kommunizieren.
Condition/&DHFeeblemindSpellTitle	Schwachsinn
Condition/&DHForesightSpellDescription	Du bist bei AngriffswÃ¼rfen, AttributswÃ¼rfen und RettungswÃ¼rfen im Vorteil. AuÃŸerdem sind andere Kreaturen bei AngriffswÃ¼rfen gegen dich im Nachteil.
Condition/&DHForesightSpellTitle	Voraussicht
Condition/&DHHolyAuraSpellDescription	Wenn du diesen Zauber wirkst, werfen VerbÃ¼ndete in Reichweite in einem Radius von 1,50 m ein schwaches Licht aus, haben einen Vorteil bei allen RettungswÃ¼rfen und andere Kreaturen haben einen Nachteil bei AngriffswÃ¼rfen gegen sie, bis der Zauber endet. Wenn ein Unterweltler oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura auÃŸerdem in strahlendem Licht auf. Dem Angreifer muss ein Konstitutionsrettungswurf gelingen oder er wird geblendet, bis der Zauber endet.
Condition/&DHHolyAuraSpellTitle	GeschÃ¼tzt durch Heilige Aura
Condition/&DHMindBlankSpellDescription	Immun gegen psychischen Schaden und den verzauberten Zustand.
Condition/&DHMindBlankSpellTitle	Verstand leer
Condition/&DHReverseGravitySpellDescription	Kann mich nicht bewegen.
Condition/&DHReverseGravitySpellTitle	Eingefangen von der umgekehrten Schwerkraft
Condition/&DHTimeStopSpellDescription	Eingefroren durch Zeitstopp.
Condition/&DHTimeStopSpellTitle	Eingefroren durch Zeitstopp
Condition/&DHWeirdSpellDescription	Die Illusion ruft die tiefsten Ã„ngste der Kreatur hervor und manifestiert ihre schlimmsten AlptrÃ¤ume als unerbittliche Bedrohung. Am Ende jedes Zuges der verÃ¤ngstigten Kreatur muss ihr ein Weisheitsrettungswurf gelingen oder sie erleidet 4W10 psychischen Schaden. Bei einem erfolgreichen Rettungswurf endet der Zauber fÃ¼r diese Kreatur.
Condition/&DHWeirdSpellTitle	Seltsam
Condition/&DisorientDescription	Die Genauigkeit dieser Kreatur ist verringert.
Condition/&DisorientTitle	Desorientiert
Condition/&EvilEyeDescription	Zustand des bÃ¶sen Blicks.
Condition/&EvilEyeTitle	BÃ¶ser Blick
Condition/&EWResonatingStrikeDamageDescription	Auf der 5. Stufe verursachen Angriffe, die von diesem Cantrip ausgelÃ¶st werden, zusÃ¤tzlich 1W8 Donnerschaden. Der Schaden erhÃ¶ht sich weiter um 1W8 auf der 11. und 17. Stufe.
Condition/&EWResonatingStrikeDamageTitle	Resonanz
Condition/&EWSunlightBladeDamageDescription	Auf der 5. Stufe verursachen Angriffe, die von diesem Cantrip ausgelÃ¶st werden, zusÃ¤tzlich 1W8 Strahlungsschaden. Der Schaden erhÃ¶ht sich weiter um 1W8 auf der 11. und 17. Stufe.
Condition/&EWSunlightBladeDamageTitle	Brennen der sonnenbeschienenen Klinge
Condition/&FrenziedDescription	Diese Kreatur ist rasend und greift die nÃ¤chste Kreatur an.
Condition/&FrenziedTitle	Wahnsinnig
Condition/&HalfLifeConditionDescription	Sie nehmen nekrotische Energie in sich auf und hÃ¤ngen zwischen Leben und Tod und sind vorÃ¼bergehend von Ihrem eigenen Geist besessen, erlangen FlugfÃ¤higkeit und die gleichen ImmunitÃ¤ten und Schadensresistenzen wie andere Geister.
Condition/&HalfLifeConditionTitle	Halbwertszeit
Condition/&HelpActionDescription	Diese Kreatur wurde abgelenkt.
Condition/&HelpActionTitle	Abgelenkt
Condition/&MoonTouchedConditionDescription	Ihre Schwerkraft wird negiert.
Condition/&MoonTouchedConditionTitle	Mond berÃ¼hrt
Condition/&PoxDescription	Pockenzustand.
Condition/&PoxTitle	Pocken
Condition/&RuinDescription	Ruinierter Zustand.
Condition/&RuinedDescription	Die Verteidigung dieser Kreatur ist reduziert.
Condition/&RuinedTitle	Ruiniert
Condition/&RuinTitle	Zugrunde richten
Condition/&SentinelStopMovementConditionTitle	Gestoppt
Condition/&SwallowedByToadConditionDescription	Erleidet 3W6 SÃ¤ureschaden pro Runde. Endet, wenn der KrÃ¶tenhexenmeister bei einem einzigen Angriff mit 15 oder mehr Schaden getroffen wird.
Condition/&SwallowedByToadConditionTitle	Von KrÃ¶te verschluckt
Condition/&SwallowingToadConditionDescription	Endet, wenn der KrÃ¶tenhexenmeister bei einem einzigen Angriff mit 15 oder mehr Schaden getroffen wird.
Condition/&SwallowingToadConditionTitle	Schluckende KrÃ¶te
ContentPack/&CommunityExpansionPackDescription	Das Community-Erweiterungspaket fÃ¼gt neue Klassen, Unterklassen, Talente und Zauber hinzu. Es gibt eine hÃ¶here Levelobergrenze, mehrere Klassen, QOL-Funktionen, Fehlerbehebungen und mehr. Es ist ein wahres Horn of Plenty (TM) ...
ContentPack/&CommunityExpansionPackTitle	Community-Erweiterungspaket
CraftyFeats/&ApothecaryIntFeatDescription	+1 Intelligenz, Kompetenz oder Expertise mit Herbalism Kit und Arcana.
CraftyFeats/&ApothecaryIntFeatTitle	Apotheker (Geheimdienst)
CraftyFeats/&ApothecaryWisFeatDescription	+1 Weisheit, Kompetenz oder Expertise mit KrÃ¤uterkunde-Kit und Medizin.
CraftyFeats/&ApothecaryWisFeatTitle	Apotheker (Weisheit)
CraftyFeats/&AttributeDexDescription	+1 Geschicklichkeit.
CraftyFeats/&AttributeDexTitle	Geschicklichkeit
CraftyFeats/&AttributeIntDescription	+1 Intelligenz.
CraftyFeats/&AttributeIntTitle	Intelligenz
CraftyFeats/&AttributeWisDescription	+1 Weisheit.
CraftyFeats/&AttributeWisTitle	Weisheit
CraftyFeats/&CraftyArcanaDescription	Arcana-Kenntnisse oder -Expertise.
CraftyFeats/&CraftyBowsDescription	Beherrschung aller BÃ¶gen und ArmbrÃ¼ste.
CraftyFeats/&CraftyBowsTitle	Beherrschung des Bogens
CraftyFeats/&CraftyFletcherFeatDescription	+1 Geschicklichkeit, Beherrschung oder Erfahrung mit Schmieds Werkzeugen, Beherrschung mit BÃ¶gen und ArmbrÃ¼sten.
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyMedicineDescription	Medizinische Kenntnisse oder Fachkenntnisse.
CraftyFeats/&CraftyNatureDescription	Naturkenntnisse oder Fachwissen.
CraftyFeats/&CraftyScribeFeatDescription	+1 Intelligenz, Kompetenz oder Expertise mit Scroll Kit und Arcana, erfordert die FÃ¤higkeit, Zauber zu wirken.
CraftyFeats/&CraftyScribeFeatTitle	Schreiber
CraftyFeats/&CraftySkillsTitle	FÃ¤higkeiten
CraftyFeats/&CraftyToolsTitle	Werkzeug
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Intelligenz, Kompetenz oder Expertise im Umgang mit Manacalon-Rosenkranz und Arcana, erfordert die FÃ¤higkeit, Zauber zu wirken.
CraftyFeats/&ManacalonCrafterFeatTitle	Handwerker von Manacalon
CraftyFeats/&ToxicologistIntFeatDescription	+1 Intelligenz, Beherrschung oder Expertise im Umgang mit Poisoner's Kit und Nature.
CraftyFeats/&ToxicologistIntFeatTitle	Toxikologe (Geheimdienst)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Weisheit, Kompetenz oder Expertise im Umgang mit GiftausrÃ¼stung und Medizin.
CraftyFeats/&ToxicologistWisFeatTitle	Toxikologe (Weisheit)
DamageAffinity/&DHHolyAuraSpellDescription	Wenn ein Teufel oder ein Untoter eine betroffene Kreatur mit einem Nahkampfangriff trifft, blitzt die Aura in strahlendem Licht auf. Dem Angreifer muss ein Konstitutionsrettungswurf gelingen oder er wird geblendet, bis der Zauber endet.
DamageAffinity/&DHHolyAuraSpellTitle	Vergeltung der Heiligen Aura
Equipment/&ArcaneStaffDescription	Dieser Stab ist mit magischer Schrift beschriftet und kann als Fokus fÃ¼r das Wirken arkaner Zauber verwendet werden.
Equipment/&ArcaneStaffTitle	Arkaner Stab
Equipment/&CEHalberdTypeTitle	Hellebarden
Equipment/&CEHandXbowTypeTitle	HandarmbrÃ¼ste
Equipment/&CELongMaceTypeTitle	Lange Keulen
Equipment/&CEPikeTypeTitle	Hechte
Equipment/&DruidicAmuletDescription	Dieses totemistische Amulett kann als Fokus fÃ¼r druidische ZaubersprÃ¼che verwendet werden.
Equipment/&DruidicAmuletTitle	Druidisches Amulett
Equipment/&Enchanted_Club_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Club_Acuteness_Title	Club der SchÃ¤rfe
Equipment/&Enchanted_Club_Bearclaw_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Die scharfen Stacheln der BÃ¤renklaue zerfetzen die RÃ¼stung, um zusÃ¤tzlichen Schaden zu verursachen. Die erste Waffe dieser Art wurde von Ildurial Stronghand entworfen.
Equipment/&Enchanted_Club_Bearclaw_Title	Club der BÃ¤renklauen
Equipment/&Enchanted_Club_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstÃ¼tzen.
Equipment/&Enchanted_Club_Lightbringer_Title	Club der Lichtbringer
Equipment/&Enchanted_Club_Power_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Einige Kreaturen respektieren nur kÃ¶rperliche StÃ¤rken. Manacalon-Arkaner haben diese Keule geschaffen, um Champions der Iron Legions die Kraft zu geben, die ihre ElfenkÃ¶rper nicht bieten.
Equipment/&Enchanted_Club_Power_Title	Club der Macht
Equipment/&Enchanted_Club_Punisher_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Die Kombination aus bestem Metall und Sklavenstein verlieh dieser Axt eine unglaubliche Durchschlagskraft.
Equipment/&Enchanted_Club_Punisher_Title	Punisher-Club
Equipment/&Enchanted_Dart_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Dart_Acuteness_Title	Pfeil der SchÃ¤rfe
Equipment/&Enchanted_Dart_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekÃ¤mpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Dart_Frostburn_Title	Frostbrandpfeil
Equipment/&Enchanted_Dart_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Dart_Sharpness_Title	Pfeil der SchÃ¤rfe
Equipment/&Enchanted_Dart_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Dart_Souldrinker_Title	Seelentrinker Dart
Equipment/&Enchanted_Handaxe_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Faustkeil der SchÃ¤rfe
Equipment/&Enchanted_Handaxe_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekÃ¤mpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Frostbrand-Handaxt
Equipment/&Enchanted_Handaxe_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frÃ¼hen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Faustkeil der SchÃ¤rfe
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Seelentrinker-Handaxt
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Sein ursprÃ¼ngliches Design trug das Siegel von Defineth Sharpsight, einem bekannten Zauberer der Waldelfen.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Schwere Armbrust der Genauigkeit
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins BogenschÃ¼tzenmeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstÃ¼tzen.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Schwere Armbrust des Lichtbringers
